exigence;module;intitule_module;libelle_exigence;priorite;cas_de_test;livrables_couvrants;statut_recette;critere_ou_observation
EF-M27-01;M27;Notifications;Rappels de rendez-vous par SMS (CPN, CPS/vaccination, PF, ARV, TB), avec consentement préalable;Souhaitable;CT-M27-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M27-02;M27;Notifications;Alertes internes : rupture de stock, péremption, résultat critique, rapport en retard, écart de caisse;Indispensable;"CT-M06-01 ; CT-M07-06";"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M27-03;M27;Notifications;Alerte de notification épidémiologique à l'ECZS;Indispensable;CT-M04-02;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M27-04;M27;Notifications;Paramétrage des modèles de messages, quotas et coûts;Souhaitable;CT-M27-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Jeu de données de démonstration";À vérifier;
EF-M28-01;M28;Interopérabilité;API REST documentée (OpenAPI) sur toutes les entités métier, avec authentification par jeton et journalisation;Indispensable;CT-M28-01;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M28-02;M28;Interopérabilité;Export/import HL7 FHIR R4 au minimum pour Patient, Encounter, Observation, Condition, MedicationRequest, Immunization, Location, Practitioner;Souhaitable;CT-M28-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M28-03;M28;Interopérabilité;Intégration DHIS2 : `dataValueSets`, métadonnées, mapping paramétrable, rejeu des envois échoués;Indispensable;CT-M22-04;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M28-04;M28;Interopérabilité;Intégration SIGL/InfoMED pour la remontée des données logistiques;Souhaitable;CT-M28-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M28-05;M28;Interopérabilité;Intégration mobile money (encaissement et rapprochement), en mode connecteur remplaçable;Souhaitable;CT-M28-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M28-06;M28;Interopérabilité;Lecture/écriture de codes-barres et QR (carte patient, lots de médicaments, étiquettes d'échantillons);Indispensable;CT-M28-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
EF-M28-07;M28;Interopérabilité;Impression sur imprimante thermique 58/80 mm et A5/A4, avec gabarits éditables;Indispensable;CT-M28-CL;"Cahier des charges ; Schéma de base de données ; Spécification API ; Mapping DHIS2/SIGL ; Jeu de données de démonstration";À vérifier;
RG-01;—;Règles de gestion transversales;"Un patient ne peut avoir qu'un seul dossier actif ; toute fusion conserve les deux identifiants historiques.";Indispensable;CT-RG-CL;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-02;—;Règles de gestion transversales;Un nouveau cas est déterminé par l'absence d'épisode clos pour le même problème dans la fenêtre paramétrée (par défaut 14 jours).;Indispensable;CT-M03-02;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-03;—;Règles de gestion transversales;Aucune dispensation sans prescription ou sans vente enregistrée en officine.;Indispensable;CT-M07-03;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-04;—;Règles de gestion transversales;Aucune sortie de stock ne peut rendre un solde de lot négatif.;Indispensable;CT-M07-01;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-05;—;Règles de gestion transversales;Sortie de stock FEFO obligatoire, dérogation motivée et tracée.;Indispensable;CT-M07-02;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-06;—;Règles de gestion transversales;Une prestation relevant de la gratuité maternité ne peut être encaissée auprès du patient.;Indispensable;CT-M09-01;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-07;—;Règles de gestion transversales;"Une facture validée n'est plus modifiable ; seule une note d'annulation contre-passée est possible.";Indispensable;"CT-M04-01 ; CT-M15-03";"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-08;—;Règles de gestion transversales;La session de caisse doit être clôturée avant la fin du service, avec comptage et écart justifié.;Indispensable;CT-M15-02;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-09;—;Règles de gestion transversales;Le rapport mensuel ne peut être transmis que si les contrôles de cohérence bloquants sont levés.;Indispensable;CT-M01-01;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-10;—;Règles de gestion transversales;Tout accès à un dossier sensible exige une justification enregistrée.;Indispensable;CT-M05-01;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-11;—;Règles de gestion transversales;"Les données d'un mois clos sont figées ; une correction produit un rapport rectificatif versionné.";Indispensable;CT-M22-03;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
RG-12;—;Règles de gestion transversales;Chaque enregistrement porte l'agent, la date système et, si différente, la date de l'événement clinique.;Indispensable;CT-M17-01;"Cahier des charges ; Schéma de base de données ; Spécification API";À vérifier;
ENF-P01;—;Exigences non fonctionnelles;Temps de réponse des écrans courants sur poste d'entrée de gamme;Indispensable;Tests non fonctionnels — ENF-P01;"Cahier des charges ; Plan de tests";À vérifier;95e centile inférieur à 2 secondes
ENF-P02;—;Exigences non fonctionnelles;Recherche patient sur 50 000 dossiers;Indispensable;Tests non fonctionnels — ENF-P02;"Cahier des charges ; Plan de tests";À vérifier;moins de 1 seconde
ENF-P03;—;Exigences non fonctionnelles;Génération du rapport mensuel;Indispensable;Tests non fonctionnels — ENF-P03;"Cahier des charges ; Plan de tests";À vérifier;moins de 60 secondes
ENF-P04;—;Exigences non fonctionnelles;Dix postes simultanés en pointe;Indispensable;Tests non fonctionnels — ENF-P04;"Cahier des charges ; Plan de tests";À vérifier;aucune dégradation supérieure à 30 %
ENF-P05;—;Exigences non fonctionnelles;Impression d'un reçu thermique;Indispensable;Tests non fonctionnels — ENF-P05;"Cahier des charges ; Plan de tests";À vérifier;moins de 3 secondes
ENF-P06;—;Exigences non fonctionnelles;Démarrage complet du poste;Indispensable;Tests non fonctionnels — ENF-P06;"Cahier des charges ; Plan de tests";À vérifier;moins de 60 secondes
ENF-O01;—;Exigences non fonctionnelles;Autonomie hors ligne;Indispensable;Tests non fonctionnels — ENF-O01;"Cahier des charges ; Plan de tests";À vérifier;30 jours de fonctionnement complet
ENF-S01;—;Exigences non fonctionnelles;Test d'intrusion applicatif sur les rôles et les accès directs;Indispensable;Tests non fonctionnels — ENF-S01;"Cahier des charges ; Plan de tests";À vérifier;aucune élévation de privilège
ENF-S02;—;Exigences non fonctionnelles;Chiffrement au repos et en transit;Indispensable;Tests non fonctionnels — ENF-S02;"Cahier des charges ; Plan de tests";À vérifier;vérifié par inspection technique
ENF-S03;—;Exigences non fonctionnelles;Politique de mots de passe et verrouillage après échecs;Indispensable;Tests non fonctionnels — ENF-S03;"Cahier des charges ; Plan de tests";À vérifier;conforme au paramétrage
ENF-F01;—;Exigences non fonctionnelles;Coupure électrique brutale pendant une écriture;Indispensable;Tests non fonctionnels — ENF-F01;"Cahier des charges ; Plan de tests";À vérifier;aucune corruption, reprise automatique
ENF-F02;—;Exigences non fonctionnelles;Perte du serveur, restauration;Indispensable;Tests non fonctionnels — ENF-F02;"Cahier des charges ; Plan de tests";À vérifier;objectif de reprise inférieur à 2 heures, perte de données inférieure à 24 heures
ENF-U01;—;Exigences non fonctionnelles;Prise en main par un agent non informaticien;Indispensable;Tests non fonctionnels — ENF-U01;"Cahier des charges ; Plan de tests";À vérifier;tâches courantes réalisées après 4 heures de formation
ENF-U02;—;Exigences non fonctionnelles;Utilisation sur écran de 10 pouces;Indispensable;Tests non fonctionnels — ENF-U02;"Cahier des charges ; Plan de tests";À vérifier;tous les écrans utilisables sans défilement horizontal
